periodo,0a1_bienes_y_servicios,0a1_cuidado,0a1_total,1a3_bienes_y_servicios,1a3_cuidado,1a3_total,4a5_bienes_y_servicios,4a5_cuidado,4a5_total,6a12_bienes_y_servicios,6a12_cuidado,6a12_total,var_im_0a1_bienes_y_servicios,var_im_0a1_cuidado,var_im_0a1_total,var_im_1a3_bienes_y_servicios,var_im_1a3_cuidado,var_im_1a3_total,var_im_4a5_bienes_y_servicios,var_im_4a5_cuidado,var_im_4a5_total,var_im_6a12_bienes_y_servicios,var_im_6a12_cuidado,var_im_6a12_total,var_ia_0a1_bienes_y_servicios,var_ia_0a1_cuidado,var_ia_0a1_total,var_ia_1a3_bienes_y_servicios,var_ia_1a3_cuidado,var_ia_1a3_total,var_ia_4a5_bienes_y_servicios,var_ia_4a5_cuidado,var_ia_4a5_total,var_ia_6a12_bienes_y_servicios,var_ia_6a12_cuidado,var_ia_6a12_total
2022-02-01,9492.73,25473.43,34966.17,12257.34,29112.5,41369.84,15611.19,18195.31,33806.5,19365.74,23142.0,42507.74,0.06591860475561662,0.0,0.017075771572977905,0.06591868040892868,0.0,0.018665009349494666,0.06591873689040373,0.0,0.02939703243530123,0.06591876319619216,0.0,0.028990959116071302,0.44501612807472335,0.4969788253324996,0.48250624844981216,0.4450167344730145,0.49697904614989064,0.4811978092365945,0.4450162771776107,0.4969797641731417,0.47252654393906135,0.4450157628667899,0.5013623978201636,0.47515646825086977
2022-03-01,10159.1,27688.64,37847.75,13117.78,31644.16,44761.94,16707.06,19777.6,36484.67,20725.18,25158.0,45883.18,0.07019793041622391,0.08696159095967837,0.08241051278993394,0.07019793854131495,0.08696127093173045,0.08199451581151895,0.07019772355598786,0.0869614202780824,0.07922056409270395,0.07019819536976124,0.08711433756805809,0.0794076561115693,0.47338605699434533,0.6271584856163641,0.582816987877034,0.473384730814677,0.6271582465612546,0.5788676524638228,0.4733844596286878,0.6271592505931869,0.552940931100472,0.47338510219765295,0.6321525885558583,0.5563976978579306
2022-04-01,10790.01,28796.25,39586.26,13932.43,32910.0,46842.43,17744.62,20568.75,38313.37,22012.27,26166.0,48178.27,0.06210294218976098,0.040002325863603305,0.045934302567523844,0.06210273384673326,0.040002325863603305,0.04647899532504618,0.06210308695844735,0.040002325863603305,0.05012242127995137,0.06210271756385222,0.04006677796327218,0.05002029065988878,0.5130898275303566,0.5600240535027914,0.5469449737318857,0.5130903471247066,0.5600239478607856,0.5457624579384017,0.513089420426164,0.5600243915573055,0.5379298579416596,0.513089174382557,0.5614035087719298,0.5389517630861913
2022-05-01,11290.25,31387.7,42677.96,14578.36,35871.66,50450.03,18567.29,22419.79,40987.09,23032.8,28518.0,51550.8,0.04636140281612344,0.08999262056691415,0.07810033077133327,0.04636161818146589,0.08999270738377407,0.07701564585782594,0.04636165778698009,0.0899928289273777,0.06978556049754947,0.04636186999341718,0.0898876404494382,0.07000106064414524,0.5466964582942329,0.7004147062249275,0.6568527997608551,0.5466968260502385,0.7004147265123013,0.6529439093722027,0.5466954447877421,0.7004153997492586,0.6271575560811737,0.5466964283915572,0.7017543859649122,0.6287973216731582
2022-06-01,11804.49,36095.93,47900.42,15242.36,41252.5,56494.86,19412.97,25782.81,45195.78,24081.87,32802.0,56883.87,0.04554726423241284,0.15000238947103472,0.12236901670089195,0.04554696138660308,0.15000253682154652,0.1198181646274541,0.045546765306083925,0.15000229707771573,0.10268330832952532,0.04554678545378765,0.15022091310751096,0.10345271072417894,0.5674448681722577,0.730510860299906,0.68725356275084,0.5674457777553827,0.7305113235700653,0.683264770055541,0.5674455595836934,0.7305118817097849,0.6564902730751947,0.5674453600906548,0.7317073170731707,0.6581429304749611
2022-07-01,12606.52,36095.93,48702.45,16277.97,41252.5,57530.47,20731.94,25782.81,46514.75,25718.05,32802.0,58520.05,0.06794279125993596,0.0,0.016743694522928898,0.06794289073345583,0.0,0.018331048169691888,0.06794272076864072,0.0,0.02918347686443301,0.06794239816094017,0.0,0.028763514156121994,0.6469832029275009,0.730510860299906,0.7080877569236326,0.6469827014896528,0.7305113235700653,0.7060299793842806,0.6469828397746076,0.7305118817097849,0.6922583539220113,0.646981862613879,0.7317073170731707,0.6934227424280743
2022-08-01,13564.7,39344.73,52909.44,17515.2,44965.41,62480.62,22307.71,28103.38,50411.09,27672.8,35784.0,63456.8,0.07600670129425091,0.0900046071676226,0.0863814859416725,0.07600640620421362,0.0900044845766923,0.08604396939569581,0.07600687634635261,0.09000454178578665,0.08376568722824462,0.07600692898567352,0.09090909090909083,0.08435997576898857,0.7518820394863444,0.8862648104805035,0.8498853380612954,0.7518826397064193,0.8862651033021189,0.8465575549550826,0.7518818367512017,0.8862658106779338,0.8243385603851692,0.7518821172901562,0.8891352549889135,0.826723672377601
2022-09-01,14522.63,42593.54,57116.17,18752.12,48678.33,67430.45,23883.07,30423.95,54307.03,29627.04,38724.0,68351.04,0.07061932810898863,0.08257293924751807,0.07950811802203916,0.07061980451265182,0.08257280429556846,0.07922184510973151,0.07061953019830369,0.08257263005375148,0.07728339141248486,0.07061952531005189,0.0821596244131455,0.07712711640044856,0.8178032346531716,0.8459738880762773,0.8387286296239302,0.8178039339615599,0.8459738339021616,0.8380526421523744,0.8178024314929562,0.8459734546833524,0.8334779443937275,0.8178027483898598,0.8476953907815632,0.8346184414059701
2022-10-01,15827.89,45841.97,61669.87,20437.52,52390.83,72828.35,26029.63,32744.27,58773.9,32289.86,41664.0,73953.86,0.08987765990044494,0.07626579054006788,0.07972698449493376,0.08987783781247138,0.07626596886129833,0.08005137145013874,0.08987789258248635,0.07626623104494978,0.08225215041220268,0.08987803033985164,0.07592190889370931,0.08197124725534555,0.9310052447872379,0.9867585459667372,0.9721446374629603,0.9310063332221579,0.9867588168373151,0.9707908806303642,0.9310058064530489,0.9867588926810771,0.961674946296996,0.9310049940825713,0.9879759519038076,0.962692998023609
2022-11-01,16531.31,49090.78,65622.09,21345.79,56103.75,77449.54,27186.42,35064.84,62251.27,33724.86,44646.0,78370.86,0.04444180494051975,0.07086977283044327,0.06408672500850088,0.04444130207579011,0.07086965409786394,0.06345317448493604,0.04444127711381207,0.07086949869396975,0.05916520768572431,0.04444119609066122,0.07157258064516125,0.05972642942504969,0.9744630077300136,1.0301091543689664,1.0157968687027554,0.9744619801793368,1.0301091011198142,1.0144615529471008,0.9744615270647241,1.030109324766289,1.0054253299541935,0.9744609947929046,1.032504780114723,1.0071140746401603
2022-12-01,17275.19,53018.07,70293.26,22306.32,60592.08,82898.4,28409.77,37870.05,66279.82,35242.43,48258.0,83500.43,0.044998248777622374,0.08000056222370078,0.07118288978604603,0.04499856880443387,0.08000053472361479,0.07035367802055381,0.044998569138562594,0.08000065022398517,0.06471434237405926,0.0449985559613888,0.08090310442144877,0.06545251640724614,1.0029298686602606,1.0813086419850015,1.0614826502123265,1.0029308134084713,1.0813080291970802,1.059621350312825,1.002929334304373,1.081308315164732,1.0469736641360474,1.0029297363407794,1.0852994555353903,1.0497220738465645
2023-01-01,18523.79,56461.19,74984.99,23918.56,64527.08,88445.64,30463.15,40329.42,70792.58,37789.66,51366.0,89155.66,0.07227706323345795,0.06494238662403218,0.06674509049658539,0.07227727388471084,0.06494248093150135,0.06691612865869545,0.07227724828465698,0.06494234890104433,0.06808648544911544,0.07227736566405896,0.06440382941688427,0.06772695661567263,1.0799972601755283,1.216473792496731,1.1811201101133477,1.0799977737814062,1.2164733361957922,1.1778300012163947,1.0799978970022726,1.2164733659388047,1.1556112513995433,1.0799983707725405,1.2196007259528132,1.1582038493231197
2023-02-01,20055.66,58909.01,78964.67,25896.56,67324.58,93221.14,32982.37,42077.86,75060.24,40914.76,53592.0,94506.76,0.08269743934691554,0.0433540277843949,0.05307302168073891,0.08269728612424831,0.0433538911105229,0.05399361687020421,0.08269729164580819,0.04335395847497936,0.06028400151541313,0.0826972245847144,0.04333605887162717,0.060019745241076006,1.1127389065105615,1.3125668588800172,1.25831625253781,1.1127389792565108,1.3125660798626022,1.253359935643938,1.1127390032406241,1.3125662602066135,1.2202901808823747,1.1127393014674367,1.3157894736842106,1.2232835714154646
