periodo,IS_sector_privado_registrado,IS_sector_publico,IS_total_registrado,IS_sector_no_registrado,IS_indice_total,var_im_IS_sector_privado_registrado,var_im_IS_sector_publico,var_im_IS_total_registrado,var_im_IS_sector_no_registrado,var_im_IS_indice_total,var_ia_IS_sector_privado_registrado,var_ia_IS_sector_publico,var_ia_IS_total_registrado,var_ia_IS_sector_no_registrado,var_ia_IS_indice_total
2019-05-01,201.66,193.23,198.51,188.44,196.51,0.04233214451853007,0.024277763053273116,0.03568633588981074,-0.002171035213132111,0.028255978232431422,0.39586073233197205,0.40879265091863504,0.40052208268660916,0.320255026974007,0.3845557669273585
2019-06-01,206.99,197.23,203.34,188.78,200.44,0.02643062580581179,0.02070071934999751,0.02433126794619933,0.0018042878369772808,0.01999898224008967,0.413190414419335,0.419227171331942,0.41532679056170396,0.33867536519642605,0.4003073913650972
2019-07-01,215.86,209.52,213.49,195.49,209.9,0.04285231170587944,0.06231303554226031,0.04991639618373167,0.03554401949359054,0.04719616842945529,0.4396425236761372,0.46507237256135947,0.4487649294245384,0.3473705975601351,0.4288631722260041
2019-08-01,221.87,213.21,218.63,200.52,215.02,0.027842119892522943,0.01761168384879719,0.024076069136727662,0.025730216379354465,0.024392567889471195,0.43884565499351513,0.4478473448322695,0.4420552733988521,0.34749008803171844,0.4235021516054287
2019-09-01,227.72,220.8,225.13,203.25,220.77,0.026366791364312414,0.03559870550161803,0.029730595069295207,0.013614602034709655,0.026741698446656192,0.44290964389811194,0.44872383701856844,0.4449935815147623,0.31963381379041667,0.4202907874421
2019-10-01,236.31,227.45,233.0,207.5,227.92,0.037721763569295685,0.030117753623188248,0.03495758006485139,0.02091020910209096,0.03238664673642244,0.44214573416330993,0.42575064251238004,0.43614398422090717,0.324778139564579,0.41459781529294926
2019-11-01,242.85,231.39,238.57,212.21,233.32,0.027675510981338025,0.017322488459001972,0.02390557939914162,0.02269879518072293,0.023692523692523615,0.44501963584434123,0.42227549326940794,0.43673592291478447,0.2866670708785546,0.40698305493577736
2019-12-01,246.54,238.13,243.4,223.54,239.44,0.015194564546016087,0.029128311508708205,0.02024563021335468,0.053390509401064934,0.0262300702897309,0.44302019315188756,0.4288371534861395,0.4377695079449466,0.29505822374138213,0.4089678710132989
2020-01-01,267.6,244.59,259.01,232.76,253.78,0.08542224385495256,0.027128039306261398,0.06413311421528345,0.041245414690883164,0.059889742733043816,0.512633542479227,0.4305181892619021,0.4825987406983401,0.31384059607134795,0.4485986643073234
2020-02-01,279.97,251.57,269.36,240.22,263.55,0.046225710014947685,0.028537552639110286,0.039959847110150326,0.032050180443375265,0.03849791157695637,0.5403279049295777,0.4345098933683069,0.5017003958298489,0.3219238388729915,0.46546930604982206
2020-03-01,286.4,262.08,277.31,248.53,271.58,0.022966746437118157,0.041777636443137034,0.029514404514404458,0.03459328948463902,0.030468601783342653,0.5213003293317751,0.4167252283907237,0.48262403763900785,0.3319577683691517,0.4527655932384722
2020-04-01,285.74,263.54,277.45,250.23,272.03,-0.0023044692737429484,0.005570818070818273,0.0005048501676823136,0.006840220496519445,0.001656970321820328,0.47692148653538013,0.39697853167240926,0.44754004278186477,0.3250198570293883,0.42342106640154853
2020-05-01,285.06,264.92,277.54,248.98,271.84,-0.0023797858192763366,0.005236396751916228,0.00032438277167079477,-0.0049954042281101785,-0.0006984523765760642,0.41356739065754233,0.3710086425503287,0.39811596393128834,0.3212693695606028,0.3833392702661442
2020-06-01,285.44,267.19,278.62,252.74,273.47,0.0013330526906616402,0.00856862449041218,0.0038913309793182638,0.015101614587517131,0.0059961742201297685,0.379003816609498,0.35471277189068595,0.3702173699222977,0.3388070770208709,0.364348433446418
2020-07-01,289.19,270.14,282.07,263.49,278.37,0.013137612107623209,0.01104083236648079,0.012382456392218799,0.04253382923162152,0.017917870333125974,0.33971092374687295,0.28932798778159596,0.321232844629725,0.3478438794823264,0.32620295378751796
2020-08-01,295.13,272.2,286.56,273.32,283.92,0.02054012932674021,0.007625675575627433,0.01591803453043572,0.03730691866864011,0.01993749326436034,0.3301933564700048,0.2766755780685708,0.3107075881626493,0.36305605425892673,0.32043530834340994
2020-09-01,301.54,280.93,293.84,279.69,291.02,0.02171924236777012,0.03207200587803083,0.02540480178671123,0.02330601492755746,0.025007044237813414,0.3241700333743194,0.2723278985507247,0.3052014391684803,0.3760885608856088,0.31820446618652887
2020-10-01,317.66,289.72,307.22,285.74,302.94,0.05345891092392385,0.03128893318620296,0.045534985025864616,0.02163109156566212,0.04095938423476064,0.34425119546358607,0.2737744559243791,0.31854077253218893,0.3770602409638555,0.3291505791505791
2020-11-01,326.04,294.87,314.4,306.96,312.92,0.026380406724170413,0.017775783515117993,0.023370874292038213,0.07426331630153271,0.03294381725754292,0.34255713403335397,0.2743420199662907,0.31785220270780057,0.4464916827670702,0.3411623521344078
2020-12-01,331.26,301.97,320.32,310.78,318.42,0.016010305483989518,0.024078407433784532,0.018829516539440316,0.012444618191295165,0.017576377348843097,0.3436359211486979,0.2680888590265822,0.31602300739523415,0.3902657242551668,0.329852990310725
2021-01-01,344.61,309.32,331.43,318.42,328.84,0.04030067016844785,0.02434016624167956,0.03468406593406592,0.02458330651908125,0.03272407512090947,0.287780269058296,0.26464696021914214,0.27960310412725375,0.36801855989001564,0.2957679880211206
2021-02-01,362.33,321.14,346.94,327.43,343.06,0.05142044630161613,0.038212854002327656,0.04679721208098231,0.028295961308963058,0.043242914487288786,0.29417437582598116,0.27654330802559923,0.2880160380160379,0.36304221130630254,0.3016884841586036
2021-03-01,376.68,345.37,364.98,341.36,360.28,0.039604780172770804,0.07544995951921285,0.051997463538363986,0.042543444400329866,0.05019530111350767,0.31522346368715093,0.31780372405372415,0.31614438714795723,0.37351627570112256,0.32660726121216577
2021-04-01,394.54,350.74,378.18,346.34,371.84,0.04741425082297979,0.015548542143208666,0.03616636528028927,0.014588704007499231,0.03208615521261238,0.38076573108420253,0.3308795628747059,0.3630564065597406,0.3840866402909322,0.36690806161085177
2021-05-01,408.38,360.83,390.62,349.47,382.42,0.035078825974552474,0.028767748189542086,0.03289438891533125,0.0090373621296993,0.028453098106712593,0.43261067845365875,0.36203382153102814,0.40743676587158606,0.4036067153988274,0.40678340200117735
2021-06-01,415.55,375.32,400.52,353.54,391.16,0.01755717713893934,0.04015741484909796,0.025344324407352348,0.011646207113629181,0.022854453218973836,0.4558225896860988,0.4046932894195141,0.4375134591917307,0.39882883595790153,0.43035799173583933
2021-07-01,437.0,397.93,422.41,362.03,410.37,0.05161833714354458,0.06024192688905461,0.054653949865175466,0.02401425581263772,0.04911033848041724,0.5111172585497423,0.4730510105871031,0.4975360726060909,0.37398003719306216,0.4741890289901929
2021-08-01,451.64,410.82,436.4,371.24,423.41,0.03350114416475969,0.0323926318699268,0.0331194810728912,0.025439880672872617,0.03177620196408126,0.530308677531935,0.5092578986039678,0.5228922389726409,0.35826137860383445,0.49130036630036633
2021-09-01,467.91,438.07,456.77,374.34,440.34,0.03602426711540163,0.0663307531278905,0.0466773602199817,0.008350393276586487,0.039984884627193296,0.551734429926378,0.5593564233082973,0.5544854342499319,0.33841038292395154,0.5130918837193321
2021-10-01,485.29,454.12,473.64,395.51,458.07,0.03714389519352013,0.0366379802314698,0.03693324868095549,0.05655286637815893,0.040264341190898056,0.5277025750802744,0.5674444291039624,0.5416965041338453,0.38416042556169927,0.5120816003168944
2021-11-01,507.0,466.54,491.89,412.7,476.11,0.04473613715510316,0.027349599224874455,0.03853137403935469,0.04346287072387556,0.039382627109393775,0.5550239234449761,0.5821887611489809,0.5645356234096692,0.3444748501433412,0.5215070944650388
2021-12-01,514.34,479.05,501.16,436.8,488.33,0.014477317554240754,0.026814421057144155,0.01884567687897709,0.058395929246426004,0.02566633761105619,0.5526776550141883,0.5864158691260721,0.5645604395604398,0.40549584915374237,0.5336034168707995
2022-01-01,538.17,493.03,521.3,447.94,506.68,0.04633122059338168,0.029182757540966442,0.040186766701252985,0.025503663003662913,0.037577048307497085,0.5616784190824409,0.5939156860209491,0.5728811513743473,0.4067583694491552,0.5408101204233062
2022-02-01,559.01,504.7,538.72,457.61,522.56,0.03872382332720159,0.023669959231689797,0.033416458852868036,0.021587712640085854,0.03134128049261853,0.5428200811415009,0.5715887152020926,0.5527756960857786,0.3975811623858534,0.5232320876814549
2022-03-01,589.31,565.82,580.53,483.35,561.16,0.05420296595767504,0.12110164454131178,0.07760989010989006,0.0562487707873518,0.07386711573790583,0.5644844430285652,0.638300952601558,0.5905803057701791,0.41595383173189604,0.5575663372932165
2022-04-01,622.29,580.87,606.82,517.48,589.01,0.055963754221038275,0.02659856491463719,0.04528620398601291,0.07061135822902664,0.0496293392258893,0.5772545242560956,0.6561270456748589,0.6045798297107199,0.49413870762834233,0.5840415232358005
2022-05-01,665.66,619.44,648.39,534.17,625.63,0.06969419402529375,0.06640039940089881,0.06850466365643837,0.03225245420112843,0.06217211931885713,0.6300014692198441,0.7167086993875234,0.6598996467154779,0.5285146078347209,0.6359761518749019
2022-06-01,699.36,647.9,680.14,558.71,655.94,0.05062644593335941,0.04594472426707985,0.04896744243433737,0.04594043094894906,0.048447165257420544,0.6829743713151246,0.7262602579132473,0.6981424148606812,0.5803303728008147,0.6769097044687595
2022-07-01,737.01,695.34,721.44,575.31,692.32,0.0538349347975291,0.07322117610742418,0.060722792366277645,0.029711299242898725,0.05546238985273044,0.6865217391304348,0.7473927575201669,0.7079141118818211,0.589122448415877,0.6870628944610961
2022-08-01,797.04,724.84,770.07,606.44,737.46,0.08145072658444241,0.042425288348146184,0.06740685296074522,0.05410995810954122,0.06520106309221174,0.764768399610309,0.7643736916411081,0.7645967002749774,0.6335524189203752,0.7417160671689378
