periodo,linea_de_indigencia,inversa_coef_engel,linea_de_pobreza,var_im_linea_de_indigencia,var_im_inversa_coef_engel,var_im_linea_de_pobreza,var_ia_linea_de_indigencia,var_ia_inversa_coef_engel,var_ia_linea_de_pobreza
2024-01-01,92414.67,2.09,193146.66,0.1864830956849426,0.014563106796116498,0.20376200986048643,2.963736283532003,-0.07929515418502209,2.6494312532758535
2024-02-01,104482.59,2.14,223592.74,0.1305844624019108,0.02392344497607679,0.15763192591577813,3.011414664336459,-0.027272727272727337,2.90201267322724
2024-03-01,115873.35,2.16,250286.44,0.1090206511917442,0.009345794392523477,0.11938536108104403,3.081754973559362,-0.00917431192660556,3.0443078494201448
2024-04-01,120726.29,2.22,268012.36,0.04188141621865582,0.0277777777777779,0.07082253437301667,2.962297448271607,0.0277777777777779,3.0723613075445213
2024-05-01,125235.49,2.2,275518.08,0.03735060524099598,-0.009009009009009028,0.028005126330741037,2.906788054730694,0.0,2.906788304679997
2024-06-01,127287.79,2.22,282578.89,0.016387527209738906,0.009090909090909038,0.02562739258345581,2.7736692982110256,-0.004484304932735328,2.7567468289943613
2024-07-01,131293.57,2.22,291471.73,0.03147026120887175,0.0,0.031470291358282276,2.6339060313892966,-0.004484304932735328,2.6176107477910886
2024-08-01,136399.3,2.23,304170.44,0.038887890701730266,0.0045045045045044585,0.043567552846377255,2.2274500292814507,0.022935779816513735,2.301474302547332
2024-09-01,138744.31,2.25,312174.7,0.017192243655209438,0.008968609865470878,0.02631504889166747,1.899095633124722,0.04166666666666652,2.0198912035203063
2024-10-01,140653.57,2.27,319283.6,0.013760996757272492,0.008888888888888946,0.022772184933628425,1.7061810376656594,0.05581395348837215,1.8572236525480528
2024-11-01,142148.73,2.28,324099.1,0.010630089232715578,0.004405286343612147,0.015082202781476983,1.3736213586753423,0.08056872037914697,1.5648610527577
2024-12-01,145408.96,2.28,331532.43,0.0229353438472506,0.0,0.022935361437288915,0.8668602398420944,0.10679611650485432,1.0662337328055842
2025-01-01,146726.23,2.28,334535.8,0.009059070362651855,0.0,0.009059053438603248,0.5876941399022473,0.09090909090909083,0.7320299507120651
2025-02-01,151491.17,2.26,342370.04,0.03247503871666302,-0.00877192982456143,0.023418241037282073,0.4499178284152414,0.05607476635513997,0.5312216308991069
2025-03-01,160393.45,2.22,356073.46,0.05876434910364736,-0.017699115044247593,0.04002517276336448,0.3842134537406574,0.0277777777777779,0.42266380871452736
2025-04-01,162553.77,2.21,359243.83,0.013468879184280746,-0.0045045045045045695,0.00890369644510991,0.3464653804900324,-0.0045045045045045695,0.3404002337802632
2025-05-01,161903.21,2.22,359425.13,-0.00400212188250082,0.00452488687782826,0.0005046711588616581,0.292790166749058,0.009090909090909038,0.30454280895104957
2025-06-01,163756.66,2.23,365177.35,0.011447889143149315,0.0045045045045044585,0.0160039449662297,0.2865072132998774,0.0045045045045044585,0.29230230184568984
2025-07-01,166797.7,2.23,371958.87,0.018570481347140344,0.0,0.01857048362939273,0.2704178887054409,0.0045045045045044585,0.2761404682368338
2025-08-01,168456.04,2.23,375656.97,0.00994222342394413,0.0,0.009942228289918198,0.23502129409755046,0.0,0.23502129266736094
2025-09-01,170788.46,2.23,380858.27,0.013845867444111759,0.0,0.013845876465436113,0.23095830019984231,-0.008888888888888946,0.22001645232621359
2025-10-01,176150.29,2.23,392815.15,0.031394568462061345,0.0,0.03139456575276678,0.25236984742015434,-0.017621145374449365,0.23030168163977116
