periodo,nivel_general,productos_alimenticios_y_bebidas,productos_del_tabaco,productos_textiles,papel_y_carton,edicion_e_impresion,refinacion_del_petroleo,sustancias_y_productos_quimicos,productos_de_caucho_y_plastico,productos_minerales_no_metalicos,industrias_metalicas_basicas,industria_automotriz,metalmecanica_excluida_industria_automotriz,var_im_nivel_general,var_im_productos_alimenticios_y_bebidas,var_im_productos_del_tabaco,var_im_productos_textiles,var_im_papel_y_carton,var_im_edicion_e_impresion,var_im_refinacion_del_petroleo,var_im_sustancias_y_productos_quimicos,var_im_productos_de_caucho_y_plastico,var_im_productos_minerales_no_metalicos,var_im_industrias_metalicas_basicas,var_im_industria_automotriz,var_im_metalmecanica_excluida_industria_automotriz,var_ia_nivel_general,var_ia_productos_alimenticios_y_bebidas,var_ia_productos_del_tabaco,var_ia_productos_textiles,var_ia_papel_y_carton,var_ia_edicion_e_impresion,var_ia_refinacion_del_petroleo,var_ia_sustancias_y_productos_quimicos,var_ia_productos_de_caucho_y_plastico,var_ia_productos_minerales_no_metalicos,var_ia_industrias_metalicas_basicas,var_ia_industria_automotriz,var_ia_metalmecanica_excluida_industria_automotriz
2018-07-01,60.1,58.9,73.0,53.6,73.8,58.6,66.2,50.8,54.3,71.4,86.3,48.1,51.1,-0.027508090614886682,-0.0033840947546531774,0.07352941176470584,-0.032490974729241784,0.029288702928870203,-0.024958402662229595,-0.03639010189228531,-0.1779935275080906,-0.009124087591240837,0.011331444759206999,0.07204968944099366,0.008385744234800763,-0.04664179104477617,-0.07680491551459279,-0.07824726134585291,-0.12154031287605294,-0.1816793893129771,-0.09558823529411764,-0.008460236886632777,-0.21563981042654035,-0.14043993231810492,-0.1646153846153846,-0.012448132780082832,0.1370223978919629,0.05714285714285716,-0.13682432432432434
2018-08-01,63.0,61.7,76.7,53.4,76.1,53.9,78.1,54.1,57.6,72.1,85.2,57.3,53.9,0.048252911813643884,0.04753820033955858,0.050684931506849384,-0.003731343283582156,0.031165311653116534,-0.08020477815699667,0.17975830815709948,0.06496062992125995,0.0607734806629836,0.009803921568627194,-0.012746234067207318,0.19126819126819128,0.0547945205479452,-0.0638930163447251,-0.06373292867981795,-0.003896103896103842,-0.22720694645441386,-0.13522727272727275,-0.003696857670979714,-0.08440797186400939,-0.131621187800963,-0.04159733777038266,-0.06485084306095978,0.07169811320754715,0.03992740471869327,-0.11783960720130937
2018-09-01,61.1,59.4,66.5,49.1,73.8,50.7,75.7,63.2,52.4,74.1,84.3,44.8,46.0,-0.030158730158730163,-0.0372771474878445,-0.13298565840938725,-0.08052434456928836,-0.030223390275952666,-0.05936920222634501,-0.030729833546734864,0.168207024029575,-0.09027777777777779,0.0277392510402219,-0.010563380281690238,-0.21815008726003493,-0.14656771799628943,-0.07843137254901955,-0.06896551724137934,-0.13971539456662352,-0.28111273792093694,-0.10545454545454547,-0.1952380952380952,-0.11668611435239207,-0.012499999999999956,-0.07908611599297011,-0.008032128514056325,0.040740740740740744,-0.21541155866900186,-0.15904936014625237
2018-10-01,64.8,66.6,71.4,47.4,76.5,59.5,78.8,69.1,52.1,73.7,83.9,45.9,49.2,0.06055646481178378,0.1212121212121211,0.0736842105263158,-0.03462321792260703,0.03658536585365857,0.17357001972386588,0.04095112285336855,0.09335443037974667,-0.005725190839694583,-0.005398110661268496,-0.00474495848161316,0.024553571428571397,0.06956521739130439,-0.051244509516837455,0.004524886877828038,-0.0027932960893852776,-0.24160000000000004,-0.11866359447004604,-0.03409090909090906,0.0735694822888282,-0.025387870239774513,-0.06126126126126119,-0.04533678756476689,0.012062726176115701,-0.13232514177693766,-0.2102728731942214
2018-11-01,63.3,63.5,74.6,43.9,76.1,56.1,73.2,70.0,51.6,72.7,88.0,44.4,44.5,-0.02314814814814814,-0.04654654654654644,0.04481792717086819,-0.07383966244725737,-0.005228758169934733,-0.05714285714285716,-0.07106598984771562,0.013024602026049381,-0.009596928982725572,-0.013568521031207648,0.04886769964243132,-0.0326797385620915,-0.0955284552845529,-0.08526011560693647,-0.06203840472673561,0.0581560283687943,-0.2791461412151067,-0.07980652962515122,-0.10810810810810811,-0.07341772151898729,-0.014084507042253502,-0.13856427378964942,-0.09801488833746885,0.05896510228640195,-0.19272727272727275,-0.2728758169934641
2018-12-01,56.6,58.9,56.0,32.3,66.8,48.9,77.4,66.4,47.2,61.5,69.4,25.6,42.8,-0.10584518167456547,-0.07244094488188979,-0.24932975871313667,-0.26423690205011396,-0.12220762155059128,-0.12834224598930488,0.05737704918032782,-0.05142857142857138,-0.0852713178294573,-0.15405777166437418,-0.2113636363636363,-0.42342342342342343,-0.038202247191011285,-0.11562499999999998,-0.03758169934640532,-0.09385113268608414,-0.42010771992818674,-0.08241758241758246,-0.1539792387543253,-0.1031286210892235,-0.036284470246734424,-0.23252032520325194,-0.19817470664928294,-0.053206002728512836,-0.33159268929503904,-0.23021582733812962
2019-01-01,56.2,57.5,83.9,31.4,67.4,56.7,76.6,68.9,48.4,57.1,71.7,15.7,38.4,-0.007067137809187218,-0.02376910016977929,0.4982142857142857,-0.02786377708978327,0.008982035928143839,0.15950920245398792,-0.010335917312661591,0.03765060240963858,0.025423728813559254,-0.07154471544715446,0.033141210374639796,-0.3867187500000001,-0.10280373831775702,-0.08766233766233766,-0.08293460925039875,0.07840616966580982,-0.45104895104895115,-0.08299319727891152,-0.04705882352941171,-0.0624235006119952,-0.026836158192090287,-0.16838487972508598,-0.1553254437869822,0.06379821958456966,-0.3867187500000001,-0.2098765432098766
2019-02-01,58.5,57.6,72.9,43.2,71.7,52.1,71.7,69.4,50.8,67.5,68.7,42.1,42.0,0.040925266903914626,0.0017391304347826875,-0.13110846245530394,0.3757961783439492,0.06379821958456966,-0.08112874779541446,-0.06396866840731064,0.007256894049346929,0.04958677685950419,0.18213660245183894,-0.04184100418410042,1.6815286624203822,0.09375,-0.09161490683229823,-0.061889250814332164,0.019580419580419672,-0.10559006211180111,-0.07124352331606221,0.017578125,-0.13405797101449268,-0.04931506849315059,-0.046904315196998114,-0.09029649595687339,-0.20301624129930396,-0.16468253968253965,-0.09090909090909094
2019-03-01,58.8,55.7,63.8,49.8,71.1,58.1,76.6,69.6,48.7,62.4,74.7,35.0,43.1,0.00512820512820511,-0.03298611111111105,-0.1248285322359397,0.15277777777777768,-0.008368200836820217,0.11516314779270642,0.06834030683403047,0.0028818443804032867,-0.04133858267716528,-0.0755555555555556,0.0873362445414847,-0.16864608076009502,0.02619047619047632,-0.11976047904191622,-0.12006319115323849,-0.14247311827957,-0.07089552238805974,-0.02335164835164838,0.022887323943661997,-0.025445292620865145,-0.03198887343532697,-0.14109347442680775,-0.1800262812089356,-0.15113636363636362,-0.39862542955326463,-0.20626151012891336
2019-04-01,61.6,60.7,58.6,49.5,68.4,59.8,72.1,70.5,51.5,67.2,82.0,37.6,46.7,0.04761904761904767,0.08976660682226201,-0.08150470219435735,-0.0060240963855421326,-0.03797468354430367,0.029259896729776136,-0.058746736292428214,0.012931034482758674,0.05749486652977409,0.0769230769230771,0.09772423025435062,0.07428571428571429,0.08352668213457082,-0.08875739644970404,-0.06615384615384612,-0.15317919075144515,-0.053537284894837445,-0.06429548563611476,0.020477815699658564,-0.08035714285714302,-0.026243093922652005,-0.16666666666666663,-0.09433962264150941,-0.07449209932279899,-0.3261648745519713,-0.15703971119133564
