Year,Holiday,Cumulative Gross,Releases,#1_Release,#1_Gross
2005,Post-Thanksgiving Weekend,86968500.0,135.0,Harry Potter and the Goblet of Fire,19878136.0
2005,Thanksgiving Weekend,165601846.0,130.0,Harry Potter and the Goblet of Fire,54727138.0
2005,Thanksgiving 4-Day Weekend,186993488.0,43.0,Harry Potter and the Goblet of Fire,67136300.0
2005,Thanksgiving,34565471.0,40.0,Harry Potter and the Goblet of Fire,12409162.0
2005,Thanksgiving 5-Day Weekend,222928360.0,43.0,Harry Potter and the Goblet of Fire,81266683.0
2005,Halloween,9739528.0,45.0,Saw II,4526635.0
2005,Indigenous People's Day,13532979.0,45.0,Wallace & Gromit: The Curse of the Were-Rabbit,2715854.0
2005,Indigenous People's Day Weekend,113778846.0,47.0,Wallace & Gromit: The Curse of the Were-Rabbit,18741841.0
2005,Labor Day,23614002.0,44.0,Transporter 2,3563888.0
2005,Labor Day Weekend,117734958.0,131.0,Transporter 2,20104608.0
2005,Independence Day,28509791.0,33.0,War of the Worlds,12183228.0
